日期,分类,子分类,商品名称,金额,商家名称
2024-05-10,金融,养卡,保险费,518.11,银行B
2024-05-10,金融,车贷,银行手续费,343.88,银行A
2024-05-12,人情,还钱,鲜花,816.16,人情转账A
2024-05-23,娱乐,约会,桌游,751.97,商场B
2024-05-03,餐饮,下午茶,盖饭,300.37,常德牛肉粉
2024-05-15,人情,发红包,礼品卡,562.49,人情转账B
2024-05-16,居家,房租,维修费,638.45,便捷收费公司A
2024-05-02,居家,网费,电话费,901.53,便捷收费公司B
2024-05-08,娱乐,健身,桌游,906.65,商场B
2024-05-02,购物,电器,洗衣机,825.98,拼多多
2024-05-25,娱乐,聚会,桌游,56.32,天街
2024-05-06,娱乐,聚会,健身卡,466.26,天街
2024-05-03,居家,维修,电费,41.29,便捷收费公司B
2024-05-19,娱乐,休闲,桌游,75.66,商场B
2024-05-09,交通,公交地铁,停车费,568.99,交通公司
2024-05-26,娱乐,聚会,乐器,7.1,天街
2024-05-16,餐饮,粮油调料,面条,255.21,沙县国际
2024-05-03,居家,维修,物业费,583.62,便捷收费公司B
2024-05-15,购物,衣帽鞋包,帽子,576.29,大润发
2024-05-23,居家,网费,网络费,133.49,便捷收费公司B
2024-05-24,金融,购物分期,信用卡养卡费,683.7,银行B
2024-05-12,学习,书籍,网课,376.64,微信读书
2024-05-22,餐饮,加餐,包子,227.69,沙县国际
2024-05-23,餐饮,水果,披萨,850.21,常德牛肉粉
2024-05-24,交通,飞机火车,地铁票,751.21,交通公司
2024-05-02,餐饮,烟酒饮品,炒饭,309.28,肯德基
2024-05-03,学习,培训,杂志,370.43,微信读书
2024-05-07,居家,话费,网络费,553.47,便捷收费公司A
2024-05-19,人情,亲密付,红包,482.67,人情转账A
2024-05-14,购物,数码,彩妆,911.59,大润发
2024-05-27,医疗,保健,维生素,147.23,药店A
2024-05-13,交通,打车,停车费,355.12,交通公司
2024-05-01,金融,手续费,保险费,584.77,银行B
2024-05-29,娱乐,游戏,电影票,843.33,商场B
2024-05-22,医疗,药品,感冒药,514.76,药店A
2024-05-01,餐饮,粮油调料,豆浆,632.66,丽丽国际大酒店
2024-05-14,居家,网费,煤气费,191.48,便捷收费公司A
2024-05-13,娱乐,游戏,游戏机,131.69,商场B
2024-05-19,餐饮,三餐,饺子,481.71,一点点
2024-05-26,购物,数码,卫生纸,166.95,大润发
2024-05-16,人情,请客,人情聚餐,586.24,人情转账B
2024-05-20,医疗,美容,感冒药,257.05,药店A
2024-05-21,娱乐,健身,游戏机,960.42,天街
2024-05-19,交通,公交地铁,共享单车,55.04,轨交
2024-05-21,餐饮,水果,寿司,937.77,一点点
2024-05-20,餐饮,加餐,油条,815.04,丽丽国际大酒店
2024-05-25,学习,书籍,杂志,296.01,微信读书
2024-05-04,金融,购物分期,银行手续费,572.82,银行B
2024-05-13,交通,公交地铁,加油,148.94,轨交
2024-05-19,人情,孝心,礼品卡,638.22,人情转账A
2024-05-06,餐饮,粮油调料,油条,537.22,德仔
2024-05-03,学习,书籍,教科书,621.73,书店B
2024-05-08,金融,养卡,房贷,260.23,银行A
2024-05-11,购物,电器,项链,465.81,拼多多
2024-05-16,购物,护肤美妆,手链,444.83,淘宝123店
2024-05-27,娱乐,约会,乐器,802.73,商场B
2024-05-14,餐饮,水果,寿司,645.5,一点点
2024-05-01,学习,网课,培训费,230.94,微信读书
2024-05-24,医疗,保健,美容费用,444.3,药店B
2024-05-13,购物,电器,手机,871.3,淘宝123店
2024-05-15,购物,数码,电视,861.88,拼多多
2024-05-02,娱乐,休闲,乐器,331.59,商场B
2024-05-23,购物,衣帽鞋包,沙发,314.79,大润发
2024-05-02,金融,车贷,房贷,50.23,银行A
2024-05-04,学习,书籍,杂志,253.17,书店B
2024-05-13,餐饮,三餐,披萨,627.62,丽丽国际大酒店
2024-05-10,交通,私家车,机票,730.1,交通公司
2024-05-17,人情,还钱,礼品卡,479.51,人情转账B
2024-05-05,餐饮,加餐,饺子,682.39,肯德基
2024-05-09,娱乐,健身,乐器,812.26,天街
2024-05-28,交通,公交地铁,停车费,219.32,轨交
2024-05-19,医疗,美容,治疗费,983.7,药店B
2024-05-09,交通,私家车,机票,489.29,轨交
2024-05-10,娱乐,健身,电影票,844.77,天街
2024-05-10,居家,话费,电话费,895.79,便捷收费公司A
2024-05-13,金融,车贷,保险费,264.85,银行B
2024-05-07,购物,衣帽鞋包,洗衣液,959.25,大润发
2024-05-05,购物,护肤美妆,洗发水,794.26,大润发
2024-05-25,交通,私家车,机票,95.28,交通公司
2024-05-10,医疗,药品,感冒药,574.28,药店B
2024-05-31,居家,话费,房租,173.55,便捷收费公司A
2024-05-18,人情,借出,鲜花,509.71,人情转账B
2024-05-28,医疗,治疗,美容费用,550.43,药店A
2024-05-15,交通,飞机火车,共享单车,835.55,轨交
2024-05-09,人情,孝心,红包,344.5,人情转账A
2024-05-02,居家,水电煤,煤气费,323.89,便捷收费公司B
2024-05-02,医疗,美容,治疗费,515.5,药店A
2024-05-24,人情,借出,人情聚餐,5.97,人情转账B
2024-05-27,娱乐,休闲,游戏机,281.91,商场B
2024-05-28,居家,网费,电话费,212.55,便捷收费公司B
2024-05-21,餐饮,下午茶,油条,732.38,沙县国际
2024-05-01,娱乐,休闲,电影票,498.64,天街
2024-05-06,交通,打车,公交卡充值,203.19,轨交
2024-05-04,购物,数码,鞋子,180.88,大润发
2024-05-29,购物,数码,耳环,470.22,大润发
2024-05-30,人情,发红包,红包,211.86,人情转账A
2024-05-11,餐饮,粮油调料,沙拉,167.4,肯德基
2024-05-04,医疗,治疗,止疼药,503.56,药店B
2024-05-03,居家,房租,电话费,498.84,便捷收费公司B
2024-05-09,交通,私家车,加油,154.27,交通公司
2024-05-01,餐饮,粮油调料,粥,996.48,沙县国际
2024-05-12,交通,共享单车,地铁票,492.19,轨交
2024-05-02,学习,书籍,网课,753.56,书店B
2024-05-27,餐饮,买菜,沙拉,599.96,德仔
2024-05-31,金融,房贷,保险费,723.82,银行B
2024-05-19,购物,衣帽鞋包,电视,18.98,淘宝123店
2024-05-18,餐饮,加餐,饺子,719.64,一点点
2024-05-03,居家,维修,煤气费,804.79,便捷收费公司A
2024-05-03,医疗,美容,维生素,631.86,药店A
2024-05-17,交通,共享单车,出租车费,927.94,交通公司
2024-05-22,医疗,美容,维生素,593.09,药店A
2024-05-07,交通,私家车,机票,196.35,交通公司
2024-05-08,居家,维修,电费,168.87,便捷收费公司B
2024-05-29,娱乐,聚会,游戏机,383.24,天街
2024-05-20,人情,还钱,礼品卡,724.31,人情转账B
2024-05-15,居家,水电煤,网络费,94.83,便捷收费公司A
2024-05-04,学习,网课,网课,101.9,微信读书
2024-05-25,金融,手续费,房贷,485.92,银行A
2024-05-27,人情,亲密付,人情聚餐,53.61,人情转账B
2024-05-24,餐饮,加餐,粥,29.69,一点点
2024-05-18,学习,书籍,培训费,865.04,微信读书
2024-05-09,娱乐,健身,乐器,524.57,商场B
2024-05-24,餐饮,零食,汉堡,852.8,肯德基
2024-05-02,人情,还钱,红包,101.17,人情转账B
2024-05-07,交通,打车,共享单车,301.08,轨交
2024-05-15,医疗,药品,感冒药,754.54,药店B
2024-05-18,购物,日用品,电视,436.74,大润发
2024-05-04,购物,护肤美妆,洗衣液,746.87,淘宝123店
2024-05-22,居家,房租,物业费,279.22,便捷收费公司B
2024-05-09,居家,水电煤,房租,507.0,便捷收费公司A
2024-05-16,居家,维修,电话费,138.82,便捷收费公司B
2024-05-04,医疗,药品,治疗费,611.31,药店A
2024-05-09,金融,手续费,银行手续费,172.24,银行A
2024-05-25,交通,共享单车,机票,107.45,交通公司
2024-05-30,餐饮,水果,豆浆,224.16,常德牛肉粉
2024-05-26,居家,物业,物业费,327.67,便捷收费公司A
